m gam aeat p isp o/f
2.2167*10 1.2307  2.7500*10 5.4927*0.1 3.0022  6.6000 
2.2167*10 1.2325  3.0000*10 4.8992*0.1 3.0207  6.6000 
2.2167*10 1.2342  3.2500*10 4.4104*0.1 3.0374  6.6000 
2.2167*10 1.2358  3.5000*10 4.0015*0.1 3.0524  6.6000 
2.2167*10 1.2372  3.7500*10 3.6551*0.1 3.0662  6.6000 
2.2220*10 1.1761  0.0000  1.6500*100 0.0000  6.7000 
2.2220*10 1.1789  1.0000  9.3811*10 1.1018  6.7000 
2.2220*10 1.2113  1.0000*10 2.0987  2.7431  6.7000 
2.2220*10 1.2152  1.2500*10 1.5583  2.8084  6.7000 
2.2220*10 1.2185  1.5000*10 1.2233  2.8582  6.7000 
2.2220*10 1.2213  1.7500*10 9.9760*0.1 2.8979  6.7000 
2.2220*10 1.2239  2.0000*10 8.3640*0.1 2.9308  6.7000 
2.2220*10 1.2262  2.2500*10 7.1616*0.1 2.9586  6.7000 
2.2220*10 1.2283  2.5000*10 6.2344*0.1 2.9826  6.7000 
2.2220*10 1.2292  2.6200*10 5.8617*0.1 2.9931  6.7000 
2.2220*10 1.2302  2.7500*10 5.5002*0.1 3.0037  6.7000 
2.2220*10 1.2320  3.0000*10 4.9061*0.1 3.0224  6.7000 
2.2220*10 1.2337  3.2500*10 4.4167*0.1 3.0391  6.7000 
2.2220*10 1.2353  3.5000*10 4.0074*0.1 3.0543  6.7000 
2.2220*10 1.2367  3.7500*10 3.6606*0.1 3.0681  6.7000 
2.2269*10 1.1758  0.0000  1.6500*100 0.0000  6.8000 
2.2269*10 1.1786  1.0000  9.3819*10 1.1000  6.8000 
2.2269*10 1.2110  1.0000*10 2.1003  2.7424  6.8000 
2.2269*10 1.2148  1.2500*10 1.5596  2.8082  6.8000 
2.2269*10 1.2181  1.5000*10 1.2244  2.8583  6.8000 
2.2269*10 1.2210  1.7500*10 9.9855*0.1 2.8983  6.8000 
2.2269*10 1.2235  2.0000*10 8.3722*0.1 2.9314  6.8000 
2.2269*10 1.2258  2.2500*10 7.1690*0.1 2.9594  6.8000 
2.2269*10 1.2279  2.5000*10 6.2410*0.1 2.9836  6.8000 
2.2269*10 1.2289  2.6200*10 5.8680*0.1 2.9941  6.8000 
2.2269*10 1.2298  2.7500*10 5.5062*0.1 3.0048  6.8000 
2.2269*10 1.2316  3.0000*10 4.9116*0.1 3.0236  6.8000 
2.2269*10 1.2333  3.2500*10 4.4218*0.1 3.0405  6.8000 
2.2269*10 1.2349  3.5000*10 4.0121*0.1 3.0557  6.8000 
2.2269*10 1.2363  3.7500*10 3.6650*0.1 3.0696  6.8000 
